Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM,IBM
Date,,,,,,
30-09-2015,92.11969757,138.5946503,139.3021088,137.3422546,137.3709412,4127725
01-10-2015,91.24276733,137.2753296,139.263855,135.3632965,138.919693,4059421
02-10-2015,91.87187958,138.2218018,138.2313538,134.3785858,134.8470306,3194902
05-10-2015,94.70592499,142.4856567,143.2982788,139.4072723,139.4072723,5367863
06-10-2015,94.54071808,142.2370911,143.5468445,141.9598541,142.504776,3156933
07-10-2015,95.37316132,143.4894867,144.1013336,142.3135834,143.4416809,3117917
08-10-2015,96.76473236,145.5831757,146.2906342,142.7246704,143.1070709,5014942
09-10-2015,96.83466339,145.6883392,146.414917,144.6175842,145.7552643,3693531
12-10-2015,96.04034424,144.4933014,145.8699799,144.2160645,145.6978912,3376070
13-10-2015,95.07449341,143.0401459,144.1491394,142.6195068,144.1491394,4095822
14-10-2015,95.32231903,143.4129944,144.0248566,142.4665375,143.0210266,3507238
15-10-2015,95.37316132,143.4894867,144.588913,142.0458832,144.2734222,3636105
16-10-2015,95.56377411,143.7762909,144.5506744,142.6959839,143.8336487,3643950
19-10-2015,94.82032776,142.6577454,143.3747559,141.8546906,143.2600403,8320616
20-10-2015,89.36824036,134.4550629,136.5965576,134.1013336,136.2237091,16762778
21-10-2015,89.54614258,134.7227478,136.3862305,133.173996,134.0822144,7312168
22-10-2015,91.5605011,137.7533417,138.6902466,135.3919678,135.5066986,5840027
23-10-2015,91.93540955,138.3173981,139.0917816,137.3804932,138.250473,5617438
26-10-2015,91.28725433,137.3422546,138.6233215,136.9120483,138.3843231,3649912
27-10-2015,87.60172272,131.7973175,137.504776,131.2906342,137.1988525,15698891
28-10-2015,89.4889679,134.6367035,135.0191193,131.4531555,131.8546906,8902924
29-10-2015,89.31104279,134.3690186,134.6271515,132.906311,134.1873779,3881078
30-10-2015,89.01235962,133.919693,135.1147156,133.7476044,134.263855,4167264
02-11-2015,89.1966629,134.1969452,134.3403473,133.4321289,134.321228,3998021
03-11-2015,90.15615845,135.6405334,136.5200806,133.7476044,133.8623352,4549472
04-11-2015,89.99733734,135.401535,136.3766785,135.0860443,136.2810669,3678677
05-11-2015,88.89165497,133.7380524,136.1185455,133.4894867,135.3824158,5331357
06-11-2015,88.67360687,132.170166,133.4129944,131.8068848,132.504776,4963165
09-11-2015,86.78786469,129.3594666,132.0076447,128.9483795,131.8546906,8447078
10-11-2015,86.89048004,129.5124207,129.7705536,128.2218018,129.4072723,4728757
11-11-2015,86.60188293,129.0822144,130.2103271,128.585083,130.1051636,3310381
12-11-2015,85.33188629,127.1892929,128.7762909,127.160614,128.7762909,4917664
13-11-2015,84.50447845,125.9560242,127.1510544,125.8604202,127.1032486,4826035
16-11-2015,85.76161194,127.8298264,128.1931152,125.9942627,125.9942627,4383577
17-11-2015,85.83217621,127.9349899,128.8910065,127.4474182,128.3173981,2944595
18-11-2015,87.11499023,129.8470306,129.933075,128.3556366,128.8623352,4340063
19-11-2015,87.70507813,130.7265778,131.6826019,130.0286865,130.2198792,4972266
20-11-2015,88.83393097,132.4091797,132.8106995,131.2141418,131.3288727,5414514
23-11-2015,88.80828094,132.3709412,132.7629089,131.089859,132.4378662,5374243
24-11-2015,88.89806366,132.504776,133.2122345,131.2715149,131.5965576,3564454
25-11-2015,88.51322937,131.9311676,132.3422546,131.3384247,132.2848969,3387157
27-11-2015,88.80828094,132.3709412,132.7055511,131.1759033,131.9311676,1480927
30-11-2015,89.42401886,133.2887115,133.7476044,132.428299,132.5143433,4754698
01-12-2015,90.61701202,135.066925,135.1816406,133.4416809,133.4416809,4388075
02-12-2015,89.60361481,133.5564117,135,133.3652039,134.7323151,3896768
03-12-2015,89.10332489,132.8106995,134.5411072,132.1128082,133.9388123,6181442
04-12-2015,90.07186127,134.254303,134.8183594,131.9216003,132.0172119,4781894
07-12-2015,89.50740051,133.4129944,134.2351837,132.7055511,133.99617,3430252
08-12-2015,88.5453186,131.9789734,132.9445496,131.481842,132.1988525,4084839
09-12-2015,87.62168121,130.6022949,133.6902466,130.2389984,131.3384247,4827290
10-12-2015,87.73071289,130.7648163,131.7877655,129.7514343,131.00383,4416526
11-12-2015,86.31324005,128.6520081,129.4837494,128.0210266,129.2829895,5579155
14-12-2015,87.18552399,129.9521942,130.1529694,128.1261902,129.3594666,5380415
15-12-2015,88.37853241,131.7304077,132.8585052,131.2428284,131.3575592,4433471
16-12-2015,89.34062195,133.1644287,133.508606,131.7304077,133.0019073,4545393
17-12-2015,87.71147156,130.736145,133.3652039,130.3154907,133.2218018,4277617
18-12-2015,86.52489471,128.9674988,130.9369049,128.3652039,130.411087,10487301
21-12-2015,86.90971375,129.5411072,129.8565979,128.1261902,129.8565979,5875905
22-12-2015,88.46833038,131.8642426,132.1128082,129.6845093,129.9044037,4459935
23-12-2015,88.85957336,132.4474182,133.1835632,132.0363312,132.2179718,5402485
24-12-2015,88.67360687,132.170166,132.7724609,132.0363312,132.3422546,1563979
28-12-2015,88.26306915,131.5583191,131.9694061,130.5353699,131.6826019,3287996
